Block,Date,Task,Checkbox,Select,Note
A1,23/03/2025 6:00 (GMT+1) → 6:30,meeting prep,No,Morning,
A2,23/03/2025 6:30 (GMT+1) → 7:00,meeting prep,No,Morning,
A3,23/03/2025 7:00 (GMT+1) → 7:30,,No,Morning,
A4,01/05/2024 7:30 (GMT+2) → 8:00,,No,Morning,
A5,01/05/2024 8:00 (GMT+2) → 8:30,Walk,No,Morning,
A6,01/05/2024 8:30 (GMT+2) → 9:00,testing plan,No,Morning,
A7,01/05/2024 9:00 (GMT+2) → 9:30,,No,Morning,
A8,01/05/2024 9:30 (GMT+2) → 10:00,garden,No,Morning,
A9,01/05/2024 10:00 (GMT+2) → 10:30,,No,Morning,
A10,01/05/2024 10:30 (GMT+2) → 11:00,,No,Morning,
A11,01/05/2024 11:00 (GMT+2) → 11:30,Meal,No,Morning,
A12,01/05/2024 11:30 (GMT+2) → 12:00,,No,Morning,
B1,01/05/2024 12:00 (GMT+2) → 12:30,,No,Afternoon,
B2,01/05/2024 12:30 (GMT+2) → 13:00,,No,Afternoon,
B3,01/05/2024 13:00 (GMT+2) → 13:30,,No,Afternoon,
B4,01/05/2024 13:30 (GMT+2) → 14:00,,No,Afternoon,
B5,01/05/2024 14:00 (GMT+2) → 14:30,,No,Afternoon,
B6,01/05/2024 14:30 (GMT+2) → 15:00,,No,Afternoon,
B7,01/05/2024 15:00 (GMT+2) → 15:30,,No,Afternoon,
B8,01/05/2024 15:30 (GMT+2) → 16:00,,No,Afternoon,
B9,01/05/2024 16:00 (GMT+2) → 16:30,,No,Afternoon,
B10,01/05/2024 16:30 (GMT+2) → 17:00,,No,Afternoon,
B11,01/05/2024 17:00 (GMT+2) → 17:30,,No,Afternoon,
B12,01/05/2024 17:30 (GMT+2) → 18:00,,No,Afternoon,
C1,01/05/2024 18:00 (GMT+2) → 18:30,meeting prep,No,Evening,
C2,01/05/2024 18:30 (GMT+2) → 19:00,testing plan,No,Evening,
C3,01/05/2024 19:00 (GMT+2) → 19:30,Sports,No,Evening,
C4,01/05/2024 19:30 (GMT+2) → 20:00,Shower,No,Evening,
C5,01/05/2024 20:00 (GMT+2) → 20:30,,No,Evening,
C6,01/05/2024 20:30 (GMT+2) → 21:00,,No,Evening,
C7,01/05/2024 21:00 (GMT+2) → 21:30,,No,Evening,
C8,01/05/2024 21:30 (GMT+2) → 22:00,,No,Evening,
C9,01/05/2024 22:00 (GMT+2) → 22:30,,No,Evening,
C10,01/05/2024 22:30 (GMT+2) → 23:00,,No,Evening,
C11,01/05/2024 23:00 (GMT+2) → 23:30,,No,Evening,
C12,01/05/2024 23:30 (GMT+2) → 02/05/2024 0:00 (GMT+2),,No,Evening,
